IDENTIFICADOR DO ATAQUE,ANO EM QUE O ATAQUE OCORREU,PREJUIZO CAUSADO PELO ATAQUE,PAIS ONDE OCORREU O ATAQUE,TIPO DE AMEACA A SEGURANCA CIBERNETICA,SETOR DA INDUSTRIA QUE SOFREU O ATAQUE,ESTRATEGIA DE DEFESA CIBERNETICA EMPREGADA PARA RESOLVER O PROBLEMA
1,2019,80.53,CHINA,PHISHING,EDUCATION,VPN
2,2019,62.19,CHINA,RANSOMWARE,RETAIL,FIREWALL
3,2017,38.65,INDIA,MAN-IN-THE-MIDDLE,IT,VPN
4,2024,41.44,,RANSOMWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
5,2018,74.41,GERMANY,MAN-IN-THE-MIDDLE,IT,VPN
6,2017,98.24,GERMANY,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
7,2016,33.26,GERMANY,DDOS,TELECOMMUNICATIONS,VPN
8,2018,59.23,FRANCE,SQL INJECTION,,ANTIVIRUS
9,2016,16.88,INDIA,MAN-IN-THE-MIDDLE,BANKING,VPN
10,2023,69.14,UK,DDOS,HEALTHCARE,FIREWALL
11,2019,88.67,CHINA,PHISHING,TELECOMMUNICATIONS,VPN
12,2016,38.81,CHINA,SQL INJECTION,HEALTHCARE,AI-BASED DETECTION
13,2019,30.56,INDIA,RANSOMWARE,EDUCATION,FIREWALL
14,2023,58.37,FRANCE,DDOS,HEALTHCARE,AI-BASED DETECTION
15,2024,48.01,FRANCE,DDOS,IT,ENCRYPTION
16,2022,64.31,AUSTRALIA,PHISHING,,ENCRYPTION
17,2017,13.04,RUSSIA,MAN-IN-THE-MIDDLE,HEALTHCARE,AI-BASED DETECTION
18,2015,93.14,INDIA,DDOS,IT,
19,2019,14.01,UK,MALWARE,TELECOMMUNICATIONS,FIREWALL
20,2016,36.45,INDIA,DDOS,IT,AI-BASED DETECTION
21,2015,49.55,BRAZIL,RANSOMWARE,RETAIL,ANTIVIRUS
22,2023,17.72,FRANCE,RANSOMWARE,EDUCATION,VPN
23,2017,76.71,INDIA,DDOS,GOVERNMENT,FIREWALL
24,2022,20.42,JAPAN,PHISHING,TELECOMMUNICATIONS,ANTIVIRUS
25,2023,51.84,BRAZIL,DDOS,TELECOMMUNICATIONS,VPN
26,2021,51.06,CHINA,,RETAIL,AI-BASED DETECTION
27,2022,53.04,JAPAN,MALWARE,EDUCATION,VPN
28,2022,26.17,JAPAN,RANSOMWARE,BANKING,ENCRYPTION
29,2020,87.32,FRANCE,MALWARE,IT,ANTIVIRUS
30,2015,82.7,AUSTRALIA,DDOS,,ENCRYPTION
31,2022,66.24,UK,SQL INJECTION,EDUCATION,AI-BASED DETECTION
